province,district,attribute,count,pct,factor
kpk,bannu,less than 1,227,0.131062356,Highest level of education attained
kpk,bannu,class 1,124,0.071593533,Highest level of education attained
kpk,bannu,class 2,106,0.061200924,Highest level of education attained
kpk,bannu,class 3,80,0.046189376,Highest level of education attained
kpk,bannu,class 4,111,0.06408776,Highest level of education attained
kpk,bannu,class 5,174,0.100461894,Highest level of education attained
kpk,bannu,class 6,93,0.05369515,Highest level of education attained
kpk,bannu,class 7,84,0.048498845,Highest level of education attained
kpk,bannu,class 8,125,0.072170901,Highest level of education attained
kpk,bannu,class 9,76,0.043879908,Highest level of education attained
kpk,bannu,class 10,214,0.123556582,Highest level of education attained
kpk,bannu,polytechnic diploma/other diplomas,10,0.005773672,Highest level of education attained
kpk,bannu,fa/fsc/i-com,144,0.083140878,Highest level of education attained
kpk,bannu,ba/bsc/bed/bcs,73,0.042147806,Highest level of education attained
kpk,bannu,ma/msc/med/mcs,70,0.040415704,Highest level of education attained
kpk,bannu,degree in medicine,1,0.000577367,Highest level of education attained
kpk,bannu,degree in law,1,0.000577367,Highest level of education attained
kpk,bannu,mphil/phd,2,0.001154734,Highest level of education attained
kpk,bannu,others,17,0.009815242,Highest level of education attained
kpk,lakki marwat,less than 1,205,0.127171216,Highest level of education attained
kpk,lakki marwat,class 1,101,0.062655087,Highest level of education attained
kpk,lakki marwat,class 2,84,0.052109181,Highest level of education attained
kpk,lakki marwat,class 3,79,0.049007444,Highest level of education attained
kpk,lakki marwat,class 4,80,0.049627792,Highest level of education attained
kpk,lakki marwat,class 5,164,0.101736973,Highest level of education attained
kpk,lakki marwat,class 6,65,0.040322581,Highest level of education attained
kpk,lakki marwat,class 7,62,0.038461538,Highest level of education attained
kpk,lakki marwat,class 8,158,0.098014888,Highest level of education attained
kpk,lakki marwat,class 9,70,0.043424318,Highest level of education attained
kpk,lakki marwat,class 10,266,0.165012407,Highest level of education attained
kpk,lakki marwat,polytechnic diploma/other diplomas,22,0.013647643,Highest level of education attained
kpk,lakki marwat,fa/fsc/i-com,116,0.071960298,Highest level of education attained
kpk,lakki marwat,ba/bsc/bed/bcs,53,0.032878412,Highest level of education attained
kpk,lakki marwat,ma/msc/med/mcs,55,0.034119107,Highest level of education attained
kpk,lakki marwat,degree in engineering,8,0.004962779,Highest level of education attained
kpk,lakki marwat,degree in medicine,2,0.001240695,Highest level of education attained
kpk,lakki marwat,degree in agriculture,1,0.000620347,Highest level of education attained
kpk,lakki marwat,degree in law,1,0.000620347,Highest level of education attained
kpk,lakki marwat,others,20,0.012406948,Highest level of education attained
kpk,d.i.khan,less than 1,219,0.116862327,Highest level of education attained
kpk,d.i.khan,class 1,120,0.064034152,Highest level of education attained
kpk,d.i.khan,class 2,85,0.045357524,Highest level of education attained
kpk,d.i.khan,class 3,87,0.04642476,Highest level of education attained
kpk,d.i.khan,class 4,117,0.062433298,Highest level of education attained
kpk,d.i.khan,class 5,251,0.1339381,Highest level of education attained
kpk,d.i.khan,class 6,106,0.056563501,Highest level of education attained
kpk,d.i.khan,class 7,77,0.041088581,Highest level of education attained
kpk,d.i.khan,class 8,173,0.092315902,Highest level of education attained
kpk,d.i.khan,class 9,75,0.040021345,Highest level of education attained
kpk,d.i.khan,class 10,277,0.147812166,Highest level of education attained
kpk,d.i.khan,polytechnic diploma/other diplomas,8,0.004268943,Highest level of education attained
kpk,d.i.khan,fa/fsc/i-com,136,0.072572038,Highest level of education attained
kpk,d.i.khan,ba/bsc/bed/bcs,74,0.039487727,Highest level of education attained
kpk,d.i.khan,ma/msc/med/mcs,44,0.023479189,Highest level of education attained
kpk,d.i.khan,degree in engineering,1,0.000533618,Highest level of education attained
kpk,d.i.khan,degree in medicine,3,0.001600854,Highest level of education attained
kpk,d.i.khan,degree in law,3,0.001600854,Highest level of education attained
kpk,d.i.khan,others,18,0.009605123,Highest level of education attained
kpk,tank,less than 1,115,0.106580167,Highest level of education attained
kpk,tank,class 1,84,0.077849861,Highest level of education attained
kpk,tank,class 2,74,0.06858202,Highest level of education attained
kpk,tank,class 3,67,0.062094532,Highest level of education attained
kpk,tank,class 4,75,0.069508804,Highest level of education attained
kpk,tank,class 5,118,0.109360519,Highest level of education attained
kpk,tank,class 6,50,0.046339203,Highest level of education attained
kpk,tank,class 7,63,0.058387396,Highest level of education attained
kpk,tank,class 8,114,0.105653383,Highest level of education attained
kpk,tank,class 9,44,0.040778499,Highest level of education attained
kpk,tank,class 10,137,0.126969416,Highest level of education attained
kpk,tank,polytechnic diploma/other diplomas,4,0.003707136,Highest level of education attained
kpk,tank,fa/fsc/i-com,66,0.061167748,Highest level of education attained
kpk,tank,ba/bsc/bed/bcs,25,0.023169601,Highest level of education attained
kpk,tank,ma/msc/med/mcs,32,0.02965709,Highest level of education attained
kpk,tank,degree in engineering,1,0.000926784,Highest level of education attained
kpk,tank,degree in medicine,1,0.000926784,Highest level of education attained
kpk,tank,degree in law,1,0.000926784,Highest level of education attained
kpk,tank,others,8,0.007414272,Highest level of education attained
kpk,abbottabad,less than 1,230,0.098164746,Highest level of education attained
kpk,abbottabad,class 1,89,0.037985489,Highest level of education attained
kpk,abbottabad,class 2,91,0.038839095,Highest level of education attained
kpk,abbottabad,class 3,83,0.035424669,Highest level of education attained
kpk,abbottabad,class 4,99,0.042253521,Highest level of education attained
kpk,abbottabad,class 5,309,0.131882202,Highest level of education attained
kpk,abbottabad,class 6,105,0.044814341,Highest level of education attained
kpk,abbottabad,class 7,96,0.040973111,Highest level of education attained
kpk,abbottabad,class 8,253,0.107981221,Highest level of education attained
kpk,abbottabad,class 9,99,0.042253521,Highest level of education attained
kpk,abbottabad,class 10,436,0.186086214,Highest level of education attained
kpk,abbottabad,polytechnic diploma/other diplomas,23,0.009816475,Highest level of education attained
kpk,abbottabad,fa/fsc/i-com,206,0.087921468,Highest level of education attained
kpk,abbottabad,ba/bsc/bed/bcs,90,0.038412292,Highest level of education attained
kpk,abbottabad,ma/msc/med/mcs,95,0.040546308,Highest level of education attained
kpk,abbottabad,degree in engineering,6,0.002560819,Highest level of education attained
kpk,abbottabad,degree in medicine,18,0.007682458,Highest level of education attained
kpk,abbottabad,degree in law,4,0.001707213,Highest level of education attained
kpk,abbottabad,mphil/phd,2,0.000853606,Highest level of education attained
kpk,abbottabad,others,9,0.003841229,Highest level of education attained
kpk,batagram,less than 1,219,0.182196339,Highest level of education attained
kpk,batagram,class 1,118,0.098169717,Highest level of education attained
kpk,batagram,class 2,112,0.093178037,Highest level of education attained
kpk,batagram,class 3,96,0.079866889,Highest level of education attained
kpk,batagram,class 4,103,0.085690516,Highest level of education attained
kpk,batagram,class 5,134,0.111480865,Highest level of education attained
kpk,batagram,class 6,55,0.045757072,Highest level of education attained
kpk,batagram,class 7,45,0.037437604,Highest level of education attained
kpk,batagram,class 8,88,0.073211314,Highest level of education attained
kpk,batagram,class 9,34,0.02828619,Highest level of education attained
kpk,batagram,class 10,101,0.084026622,Highest level of education attained
kpk,batagram,fa/fsc/i-com,53,0.044093178,Highest level of education attained
kpk,batagram,ba/bsc/bed/bcs,24,0.019966722,Highest level of education attained
kpk,batagram,ma/msc/med/mcs,5,0.004159734,Highest level of education attained
kpk,batagram,degree in law,1,0.000831947,Highest level of education attained
kpk,batagram,others,14,0.011647255,Highest level of education attained
kpk,haripur,less than 1,215,0.098759761,Highest level of education attained
kpk,haripur,class 1,89,0.040881948,Highest level of education attained
kpk,haripur,class 2,89,0.040881948,Highest level of education attained
kpk,haripur,class 3,107,0.049150207,Highest level of education attained
kpk,haripur,class 4,105,0.048231511,Highest level of education attained
kpk,haripur,class 5,267,0.122645843,Highest level of education attained
kpk,haripur,class 6,76,0.034910427,Highest level of education attained
kpk,haripur,class 7,118,0.054203032,Highest level of education attained
kpk,haripur,class 8,212,0.097381718,Highest level of education attained
kpk,haripur,class 9,89,0.040881948,Highest level of education attained
kpk,haripur,class 10,432,0.198438218,Highest level of education attained
kpk,haripur,polytechnic diploma/other diplomas,19,0.008727607,Highest level of education attained
kpk,haripur,fa/fsc/i-com,154,0.07073955,Highest level of education attained
kpk,haripur,ba/bsc/bed/bcs,121,0.055581075,Highest level of education attained
kpk,haripur,ma/msc/med/mcs,67,0.030776298,Highest level of education attained
kpk,haripur,degree in engineering,2,0.000918695,Highest level of education attained
kpk,haripur,degree in medicine,4,0.001837391,Highest level of education attained
kpk,haripur,degree in law,2,0.000918695,Highest level of education attained
kpk,haripur,mphil/phd,1,0.000459348,Highest level of education attained
kpk,haripur,others,8,0.003674782,Highest level of education attained
kpk,kohistan,less than 1,74,0.124789207,Highest level of education attained
kpk,kohistan,class 1,39,0.065767285,Highest level of education attained
kpk,kohistan,class 2,62,0.10455312,Highest level of education attained
kpk,kohistan,class 3,46,0.077571669,Highest level of education attained
kpk,kohistan,class 4,79,0.133220911,Highest level of education attained
kpk,kohistan,class 5,126,0.212478921,Highest level of education attained
kpk,kohistan,class 6,21,0.035413153,Highest level of education attained
kpk,kohistan,class 7,14,0.023608769,Highest level of education attained
kpk,kohistan,class 8,40,0.067453626,Highest level of education attained
kpk,kohistan,class 9,3,0.005059022,Highest level of education attained
kpk,kohistan,class 10,41,0.069139966,Highest level of education attained
kpk,kohistan,fa/fsc/i-com,22,0.037099494,Highest level of education attained
kpk,kohistan,ba/bsc/bed/bcs,20,0.033726813,Highest level of education attained
kpk,kohistan,ma/msc/med/mcs,3,0.005059022,Highest level of education attained
kpk,kohistan,mphil/phd,1,0.001686341,Highest level of education attained
kpk,kohistan,others,2,0.003372681,Highest level of education attained
kpk,manshera,less than 1,220,0.103969754,Highest level of education attained
kpk,manshera,class 1,109,0.051512287,Highest level of education attained
kpk,manshera,class 2,113,0.053402647,Highest level of education attained
kpk,manshera,class 3,117,0.055293006,Highest level of education attained
kpk,manshera,class 4,138,0.065217391,Highest level of education attained
kpk,manshera,class 5,253,0.119565217,Highest level of education attained
kpk,manshera,class 6,102,0.048204159,Highest level of education attained
kpk,manshera,class 7,115,0.054347826,Highest level of education attained
kpk,manshera,class 8,214,0.101134216,Highest level of education attained
kpk,manshera,class 9,100,0.047258979,Highest level of education attained
kpk,manshera,class 10,320,0.151228733,Highest level of education attained
kpk,manshera,polytechnic diploma/other diplomas,6,0.002835539,Highest level of education attained
kpk,manshera,fa/fsc/i-com,141,0.066635161,Highest level of education attained
kpk,manshera,ba/bsc/bed/bcs,94,0.04442344,Highest level of education attained
kpk,manshera,ma/msc/med/mcs,48,0.02268431,Highest level of education attained
kpk,manshera,degree in engineering,2,0.00094518,Highest level of education attained
kpk,manshera,degree in medicine,4,0.001890359,Highest level of education attained
kpk,manshera,degree in law,3,0.001417769,Highest level of education attained
kpk,manshera,mphil/phd,2,0.00094518,Highest level of education attained
